titleId,Title,Episode,Date
tt16477402,WWII in Color: Road to Victory,1: Ocupação da Itália,14/02/2022
tt16477402,WWII in Color: Road to Victory,1: Batalha de Kursk,08/02/2022
tt16477402,WWII in Color: Road to Victory,1: Ocupação do Norte da África,31/01/2022
tt16477402,WWII in Color: Road to Victory,1: Batalha do Atlântico,30/12/2021
tt16477402,WWII in Color: Road to Victory,1: Dunquerque,27/12/2021
tt9103932,Greatest Events of WWII in Colour,1: Hiroshima,14/11/2021
tt9103932,Greatest Events of WWII in Colour,1: Libertação de Buchenwald,13/11/2021
tt9103932,Greatest Events of WWII in Colour,1: Bombardeio de Dresden,08/11/2021
tt9103932,Greatest Events of WWII in Colour,1: Batalha do Bulge,07/11/2021
tt9103932,Greatest Events of WWII in Colour,1: Dia D,30/10/2021
tt9103932,Greatest Events of WWII in Colour,1: Cerco de Stalingrado,15/10/2021
tt1051155,The Universe,2: Alien Planets,12/10/2021
tt9103932,Greatest Events of WWII in Colour,1: Batalha de Midway,12/10/2021
tt9103932,Greatest Events of WWII in Colour,1: Pearl Harbor,12/10/2021
tt9103932,Greatest Events of WWII in Colour,1: Batalha da Grã-Bretanha,10/10/2021
tt9103932,Greatest Events of WWII in Colour,1: Guerra-relâmpago,08/10/2021
tt0028478,The Walking Dead,8: Morto ou vivo,03/06/2021
tt0028478,The Walking Dead,8: Os perdidos e os saqueadores,22/05/2021
tt0028478,The Walking Dead,8: Honra,16/05/2021
tt0028478,The Walking Dead,8: Como vai ser,15/05/2021
tt0028478,The Walking Dead,8: Tempo para depois,14/05/2021
tt0028478,The Walking Dead,"8: O rei, a viúva e Rick",10/05/2021
tt0028478,The Walking Dead,8: Cerco assustador,09/05/2021
tt0028478,The Walking Dead,8: Um cara aí,08/05/2021
tt0028478,The Walking Dead,8: Monstros,07/05/2021
tt0028478,The Walking Dead,8: Os condenados,02/05/2021
tt0028478,The Walking Dead,8: Misericórdia,01/05/2021
tt6074794,Sangatsu no Lion,2: Episódio 22,28/03/2021
tt6074794,Sangatsu no Lion,2: Episódio 21,28/03/2021
tt6074794,Sangatsu no Lion,2: Episódio 20,27/03/2021
tt6074794,Sangatsu no Lion,2: Episódio 19,27/03/2021
tt12930534,Challenger: The Final Flight,: Nada acaba aqui,15/02/2021
tt12930534,Challenger: The Final Flight,: Uma grande avaria,15/02/2021
tt12930534,Challenger: The Final Flight,: Socorro!,08/02/2021
tt12930534,Challenger: The Final Flight,: O espaço para todos,07/02/2021
tt6074794,Sangatsu no Lion,2: Episódio 18,16/01/2021
tt6074794,Sangatsu no Lion,2: Episódio 17,15/01/2021
tt6074794,Sangatsu no Lion,2: Episódio 16,14/01/2021
tt6074794,Sangatsu no Lion,2: Episódio 15,14/01/2021
