tconst,averageRating,numVotes
tt12375382,6.8,212
tt1272824,6.8,475
tt12937576,7.6,357
tt12986328,7.6,325
tt12986334,8.1,317
tt12986336,8.0,307
tt1301092,7.4,237
tt1301093,7.9,208
tt1301094,7.6,188
tt1301095,7.9,181
tt1301096,8.0,183
tt1301097,8.1,181
tt1301098,7.8,177
tt1301099,8.1,186
tt1301100,8.1,179
tt1326691,8.1,175
tt1326692,7.8,169
tt1326693,7.8,175
tt1336562,8.0,170
tt1336929,8.3,187
tt1356237,8.6,195
tt1356238,7.7,167
tt1361263,7.7,173
tt1361264,7.9,174
tt1369400,8.8,228
tt1369401,7.9,166
tt1381490,8.8,223
tt1390351,8.2,172
tt1390352,8.7,218
tt1390353,8.6,187
tt1390354,8.8,286
tt1589921,9.2,23834
tt1623288,7.0,100452
tt16542412,7.6,104
tt16542414,8.1,91
tt16542592,7.8,82
tt16542830,8.1,77
tt16542940,7.8,71
tt1664529,8.0,26498
tt1664530,9.0,27061
tt1665071,9.0,30691
tt1839494,7.1,15045
tt1942612,9.4,38676
tt1942613,8.3,25738
tt1942614,9.6,37734
tt1949633,7.8,287
tt1949634,7.8,261
tt1949635,7.9,256
tt1949636,7.9,270
tt1958145,8.1,245
tt2011435,9.4,528
tt2011436,7.9,246
tt2011437,8.6,272
tt2011438,8.8,277
tt2011439,7.9,246
tt2012701,7.8,246
tt2140203,8.1,43403
tt2189771,8.9,29927
tt2279373,6.0,53867
tt2709768,6.5,196722
tt2781042,8.9,26797
tt2781046,9.2,29949
tt3381878,8.5,11407
tt3538760,7.6,24103
tt3845888,9.1,26973
tt3845892,8.2,27091
tt4302938,7.8,126265
tt4569062,8.5,4098
tt4831682,7.3,1687
tt5109276,8.7,3727
tt5109278,8.9,3676
tt5152430,8.6,3517
tt5169658,8.9,3597
tt5173426,8.5,3408
tt5203540,8.8,3437
tt5220908,8.9,3440
tt5236798,9.2,3890
tt5252356,8.8,3330
tt5257562,9.1,3659
tt5271822,9.5,5396
tt5311514,8.4,244560
tt5323662,8.1,73127
tt5877802,7.5,938
tt5877806,7.4,731
tt5877808,7.4,618
tt5877810,7.2,581
tt5877814,7.4,584
tt5877816,7.6,560
tt5959952,7.5,1621
tt6156390,6.9,12225
tt6198638,6.7,10063
tt6198656,6.4,9399
tt6198662,6.8,9287
tt6198668,7.3,8363
tt6207930,6.2,8013
tt6317962,5.5,3169
tt6325296,6.5,7666
tt6327118,6.8,10109
tt6337078,6.9,8851
tt6337088,7.7,7374
tt6337096,7.0,6652
tt6379212,7.5,178
tt6379218,7.6,148
tt6379222,8.2,152
tt6379224,7.7,137
tt6425294,7.9,184
tt6443478,7.9,168
tt6463366,8.1,159
tt6483160,7.8,163
tt6516610,7.0,146
tt6536080,8.1,154
tt6556966,8.3,145
tt6582350,8.5,176
tt6617636,7.2,135
tt6644158,8.0,145
tt6668832,8.6,153
tt6700366,8.3,135
tt6730576,8.7,153
tt7282032,8.2,118
tt7381692,7.5,385
tt7521400,6.4,716
tt7674710,8.6,156
tt7674716,7.6,129
tt7674724,7.9,127
tt7674728,8.1,132
tt7674738,7.9,120
tt7674742,8.8,154
tt7721562,8.2,121
tt7726082,8.1,71
tt7726088,7.7,117
tt7726092,7.7,119
tt7726094,7.8,117
tt7726096,7.9,117
tt7726098,8.0,118
tt7726100,8.3,115
tt7726106,8.0,119
tt7726110,8.4,121
tt7726114,8.2,113
tt7726116,7.8,108
tt7851500,7.9,975
tt8176578,6.6,7054
tt8753660,5.5,1527
tt8792382,7.8,106
tt8792414,8.6,121
tt8792422,9.4,178
tt8792428,9.0,130
tt8792554,9.0,120
tt8792564,8.5,106
