tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0827308,tvEpisode,A Pox in Our House,A Pox in Our House,0,1988,\N,25,Family
tt0831511,tvEpisode,Jingle Hell,Jingle Hell,0,1988,\N,25,Comedy
tt0831511,tvEpisode,Jingle Hell,Jingle Hell,0,1988,\N,25,Drama
tt0831511,tvEpisode,Jingle Hell,Jingle Hell,0,1988,\N,25,Family
tt0834696,tvEpisode,"Where There's a Will, There's a Way: Part 2","Where There's a Will, There's a Way: Part 2",0,1993,\N,23,Comedy
tt10470796,tvEpisode,Textbook/Hypnosis/Waking Up/Skipping Stones,Textbook/Hypnosis/Waking Up/Skipping Stones,0,2019,\N,\N,Animation
tt10470796,tvEpisode,Textbook/Hypnosis/Waking Up/Skipping Stones,Textbook/Hypnosis/Waking Up/Skipping Stones,0,2019,\N,\N,Comedy
tt10470796,tvEpisode,Textbook/Hypnosis/Waking Up/Skipping Stones,Textbook/Hypnosis/Waking Up/Skipping Stones,0,2019,\N,\N,Romance
tt10470798,tvEpisode,Ice/Appearance/Bangs/Valentine's Day,Ice/Appearance/Bangs/Valentine's Day,0,2019,\N,\N,Animation
tt10470798,tvEpisode,Ice/Appearance/Bangs/Valentine's Day,Ice/Appearance/Bangs/Valentine's Day,0,2019,\N,\N,Comedy
tt10470798,tvEpisode,Ice/Appearance/Bangs/Valentine's Day,Ice/Appearance/Bangs/Valentine's Day,0,2019,\N,\N,Romance
tt10470802,tvEpisode,April Fools Day/Blossom Watching/Forms of Address/New School Year,April Fools Day/Blossom Watching/Forms of Address/New School Year,0,2019,\N,\N,Animation
tt10470802,tvEpisode,April Fools Day/Blossom Watching/Forms of Address/New School Year,April Fools Day/Blossom Watching/Forms of Address/New School Year,0,2019,\N,\N,Comedy
tt10470802,tvEpisode,April Fools Day/Blossom Watching/Forms of Address/New School Year,April Fools Day/Blossom Watching/Forms of Address/New School Year,0,2019,\N,\N,Romance
tt10470806,tvEpisode,Arm Wrestling/Grown-Up/Bitter Taste/Bicycle,Arm Wrestling/Grown-Up/Bitter Taste/Bicycle,0,2019,\N,\N,Animation
tt10470806,tvEpisode,Arm Wrestling/Grown-Up/Bitter Taste/Bicycle,Arm Wrestling/Grown-Up/Bitter Taste/Bicycle,0,2019,\N,\N,Comedy
tt10470806,tvEpisode,Arm Wrestling/Grown-Up/Bitter Taste/Bicycle,Arm Wrestling/Grown-Up/Bitter Taste/Bicycle,0,2019,\N,\N,Romance
tt10470808,tvEpisode,Questions/Eyebrows/After School/Happy Birthday/Sneeze,Questions/Eyebrows/After School/Happy Birthday/Sneeze,0,2019,\N,\N,Animation
tt10470808,tvEpisode,Questions/Eyebrows/After School/Happy Birthday/Sneeze,Questions/Eyebrows/After School/Happy Birthday/Sneeze,0,2019,\N,\N,Comedy
